A22J,牧場物語 ふたごの村+
A2AA,Pocket Monsters Ultra Sun
A2AE,Pokémon Ultra Sun
A2AJ,Pokémon Ultra Sun
A2AK,포켓몬스터 울트라썬
A2AP,Pokémon Ultra Sun
A2BA,Pocket Monsters Ultra Moon
A2BE,Pokémon Ultra Moon
A2BJ,Pokémon Ultra Moon
A2BK,포켓몬스터 울트라문
A2BP,Pokémon Ultra Moon
A2PJ,12歳。とろけるパズル ふたりのハーモニー
A3KJ,たのしく・おもしろく 漢検小学生
A3RE,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey
A3RJ,マリオ＆ルイージRPG3 DX
A3RP,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey
A49E,Go! Go! Kokopolo 3D: Space Recipe For Disaster
A4AE,Fragrant Story
A5LE,Go! Go! Kokopolo: Harmonious Forest Revenge
A66E,Samurai Warriors: Chronicles
A66P,SAMURAI WARRIORS: Chronicles
A78J,GUNDAM THE 3D BATTLE
A8FE,Farming Simulator 18
A8FJ,ファーミングシミュレーター18 ポケット農園4
A8FP,Farming Simulator 18
A98A,Detective Pikachu
A98E,Detective Pikachu
A98J,名探偵ピカチュウ
A98P,Detective Pikachu
A9AE,Metroid: Samus Returns
A9AP,Metroid: Samus Returns
A9CJ,キューブクリエイターDX
A9EJ,ザ・デッドヒートブレイカーズ
A9EP,Dillon's Dead-Heat Breakers
AA2J,ドラえもん のび太と奇跡の島 〜アニマルアドベンチャー〜
AA3D,Bibi Blocksberg: Das große Hexenbesen-Rennen 2
AA6P,I Love My Pets
AA8E,LEGO City Undercover: The Chase Begins
AA8J,LEGO シティ アンダーカバー チェイス ビギンズ
AA8K,LEGO City Undercover: The Chase Begins
AA8P,LEGO City Undercover: The Chase Begins
AA9E,Moshi Monsters: Moshlings Theme Park
AA9P,Moshi Monsters: Moshlings Theme Park
AAAP,CTR Guide Boot Card
AABE,Tales of the Abyss
AABP,Tales of the Abyss
AACE,Art Academy: Lessons for Everyone!
AACP,New Art Academy
AAEP,Games Festival 1
AAFP,Games Festival 2
AAGP,Puzzler Brain Games
AAHE,Monster Hunter Stories
AAHJ,モンスターハンター ストーリーズ
AAHP,Monster Hunter Stories
AAJP,Mystery Murders: Jack the Ripper
AANE,Turbo: Super Stunt Squad
AANP,Turbo: Super Stunt Squad
AAPP,My Riding Stables 3D: Jumping for the Team
AAQP,Mystery Case Files: Ravenhearst
AASP,Hidden Expedition: Titanic
AAVE,Barbie Dreamhouse Party
AAVP,Barbie Dreamhouse Party
AAWE,Phineas and Ferb: Quest for Cool Stuff
AAWP,Phineas and Ferb: Quest for Cool Stuff
AAXJ,Starry☆Sky〜in Spring〜３Ｄ
AAZE,Cars 2
AAZP,Cars 2
AAZZ,Cars 2
AB2P,Bella Sara: The Magical Horse Adventures
AB5E,Bratz: Fashion Boutique
AB6P,Bowling Bonanza 3D
AB7P,Cocoto: Alien Brick Breaker
AB9J,ビックリマン漢熟覇王 三位動乱戦創紀
ABAE,Imagine: Babyz
ABAP,Imagine Babies 3D
ABBE,Bust-A-Move Universe
ABBJ,とびだす!パズルボブル 3D
ABBP,PUZZLE BOBBLE UNIVERSE
ABEE,New Super Mario Bros. 2
ABEJ,New スーパーマリオブラザーズ 2
ABEP,New Super Mario Bros. 2
ABEW,New Super Mario Bros. 2
